name,taste,environment,service,price,comment-volume,link
肯德基(固戍店),7.2,7.4,6.9,22,24,http://www.dianping.com/shop/45303551
肯德基(观澜湖店),7.4,7.4,7.0,28,26,http://www.dianping.com/shop/32310954
肯德基(华为店),7.1,7.1,7.1,0,1,http://www.dianping.com/shop/97709825
肯德基(龙城店),7.3,7.4,7.4,25,24,http://www.dianping.com/shop/19805541
肯德基(南岭店),7.3,7.3,7.1,77,26,http://www.dianping.com/shop/19805553
肯德基(鸿洲店),7.2,7.3,7.2,27,35,http://www.dianping.com/shop/2930398
肯德基(桃源居店),7.3,7.4,7.3,78,32,http://www.dianping.com/shop/2930530
肯德基(港隆城店),7.3,7.3,7.3,26,47,http://www.dianping.com/shop/2930524
肯德基(大梅沙店),7.2,7.2,7.2,28,33,http://www.dianping.com/shop/2930242
肯德基(裕客隆店),7.4,7.4,7.4,28,23,http://www.dianping.com/shop/9204868
肯德基(兴围店),7.2,7.2,7.1,28,31,http://www.dianping.com/shop/67493404
肯德基(公明店),7.3,7.4,7.3,21,25,http://www.dianping.com/shop/2930311
肯德基(华强店),7.1,7.4,7.2,27,78,http://www.dianping.com/shop/2930407
肯德基(桥头店),7.4,7.6,7.6,30,14,http://www.dianping.com/shop/24336045
肯德基(万众店),7.3,7.3,7.2,26,49,http://www.dianping.com/shop/6378059
肯德基(天安店),6.9,7.1,7.0,29,59,http://www.dianping.com/shop/24082671
肯德基(创新店),7.3,7.3,7.1,26,34,http://www.dianping.com/shop/2930227
肯德基(欧洲城店),7.5,7.6,7.5,21,84,http://www.dianping.com/shop/19805564
肯德基(民旺店),7.6,7.6,7.6,26,53,http://www.dianping.com/shop/19805599
肯德基(缤纷时代广场店),7.1,7.2,7.1,28,49,http://www.dianping.com/shop/2930428
肯德基(横岗店),7.4,7.4,7.3,28,25,http://www.dianping.com/shop/2930389
肯德基(裕安店),7.4,7.4,7.3,27,34,http://www.dianping.com/shop/16061536
肯德基(和平大润发店),7.4,7.3,7.2,30,31,http://www.dianping.com/shop/10618863
肯德基(兴万达店),7.3,7.4,7.3,28,16,http://www.dianping.com/shop/19805529
